match_id,venue,team_1,team_2,match_type,toss_winner,toss_decision,match_winner
300440,McLean Park,New Zealand,England,ODI,New Zealand,field,Unknown
300441,AMI Stadium,New Zealand,England,ODI,New Zealand,field,New Zealand
300486,Queens Sports Club,Zimbabwe,South Africa,ODI,Zimbabwe,bat,South Africa
300487,Harare Sports Club,Zimbabwe,South Africa,ODI,South Africa,field,South Africa
300488,Harare Sports Club,Zimbabwe,South Africa,ODI,South Africa,bat,South Africa
312291,Stellenbosch University 1,South Africa,Netherlands,ODI,South Africa,bat,South Africa
312295,Stellenbosch University 1,Ireland,South Africa,ODI,Ireland,bat,South Africa
312296,Stellenbosch University 2,Pakistan,Netherlands,ODI,Pakistan,bat,Pakistan
313992,Gymkhana Club Ground,Kenya,Bermuda,ODI,Kenya,field,Kenya
313993,Gymkhana Club Ground,Kenya,Bermuda,ODI,Bermuda,bat,Kenya
313994,Gymkhana Club Ground,Kenya,Bermuda,ODI,Bermuda,bat,Kenya
317578,Harare Sports Club,Zimbabwe,West Indies,ODI,West Indies,field,Zimbabwe
317579,Harare Sports Club,Zimbabwe,West Indies,ODI,Zimbabwe,field,West Indies
317581,Queens Sports Club,Zimbabwe,West Indies,ODI,West Indies,field,West Indies
319134,"Queen's Park Oval, Port of Spain",West Indies,Sri Lanka,ODI,West Indies,field,West Indies
319135,"Queen's Park Oval, Port of Spain",West Indies,Sri Lanka,ODI,West Indies,field,West Indies
319136,"Beausejour Stadium, Gros Islet",West Indies,Sri Lanka,ODI,West Indies,field,Unknown
319143,"Arnos Vale Ground, Kingstown",West Indies,Australia,ODI,West Indies,field,Australia
319144,"National Cricket Stadium, St George's",West Indies,Australia,ODI,Australia,bat,Australia
319145,"National Cricket Stadium, St George's",West Indies,Australia,ODI,Australia,field,Australia
319146,"Warner Park, Basseterre",West Indies,Australia,ODI,West Indies,field,Australia
319147,"Warner Park, Basseterre",West Indies,Australia,ODI,Australia,bat,Australia
323949,Chittagong Divisional Stadium,Bangladesh,South Africa,ODI,Bangladesh,bat,South Africa
323950,Shere Bangla National Stadium,Bangladesh,South Africa,ODI,Bangladesh,bat,South Africa
323951,Shere Bangla National Stadium,Bangladesh,South Africa,ODI,Bangladesh,bat,South Africa
325569,Maple Leaf North-West Ground,Canada,Bermuda,ODI,Canada,field,Bermuda
325572,Cambusdoon New Ground,Scotland,Kenya,ODI,Scotland,field,Unknown
325576,"Civil Service Cricket Club, Stormont",Ireland,Kenya,ODI,Kenya,field,Unknown
325579,Clontarf Cricket Club Ground,Netherlands,Scotland,ODI,Netherlands,bat,Scotland
325580,Clontarf Cricket Club Ground,Ireland,Scotland,ODI,Ireland,field,Ireland
325581,Gymkhana Club Ground,Ireland,Zimbabwe,ODI,Zimbabwe,bat,Zimbabwe
325800,National Stadium,Pakistan,Zimbabwe,ODI,Zimbabwe,field,Pakistan
325801,"Niaz Stadium, Hyderabad",Pakistan,Zimbabwe,ODI,Zimbabwe,bat,Pakistan
325802,Multan Cricket Stadium,Pakistan,Zimbabwe,ODI,Pakistan,bat,Pakistan
325803,Iqbal Stadium,Pakistan,Zimbabwe,ODI,Zimbabwe,bat,Pakistan
325804,Sheikhupura Stadium,Pakistan,Zimbabwe,ODI,Zimbabwe,bat,Pakistan
335346,Gaddafi Stadium,Bangladesh,United Arab Emirates,ODI,Bangladesh,bat,Bangladesh
335347,National Stadium,Pakistan,Hong Kong,ODI,Pakistan,bat,Pakistan
335348,Gaddafi Stadium,Bangladesh,Sri Lanka,ODI,Bangladesh,field,Sri Lanka
335349,National Stadium,Hong Kong,India,ODI,India,bat,India
335350,Gaddafi Stadium,Sri Lanka,United Arab Emirates,ODI,Sri Lanka,bat,Sri Lanka
335351,National Stadium,Pakistan,India,ODI,Pakistan,bat,India
335352,National Stadium,Bangladesh,India,ODI,Bangladesh,bat,India
335353,National Stadium,Pakistan,Sri Lanka,ODI,Pakistan,field,Sri Lanka
335354,National Stadium,Bangladesh,Sri Lanka,ODI,Sri Lanka,bat,Sri Lanka
335355,National Stadium,Pakistan,India,ODI,India,bat,Pakistan
335356,National Stadium,India,Sri Lanka,ODI,Sri Lanka,bat,India
335357,National Stadium,Pakistan,Bangladesh,ODI,Bangladesh,bat,Pakistan
335358,National Stadium,India,Sri Lanka,ODI,India,field,Sri Lanka
336201,Marrara Cricket Ground,Australia,Bangladesh,ODI,Bangladesh,field,Australia
336202,Marrara Cricket Ground,Australia,Bangladesh,ODI,Bangladesh,bat,Australia
336204,Marrara Cricket Ground,Australia,Bangladesh,ODI,Australia,bat,Australia
341302,Welagedara Stadium,Sri Lanka,India,ODI,Sri Lanka,bat,India
341306,Welagedara Stadium,India,Sri Lanka,ODI,India,bat,India
343732,Rangiri Dambulla International Stadium,Sri Lanka,India,ODI,India,bat,Sri Lanka
343733,Rangiri Dambulla International Stadium,Sri Lanka,India,ODI,India,field,India
343734,R Premadasa Stadium,Sri Lanka,India,ODI,India,bat,India
343736,R Premadasa Stadium,Sri Lanka,India,ODI,Sri Lanka,bat,Sri Lanka
343759,Gaddafi Stadium,Pakistan,Bangladesh,ODI,Pakistan,bat,Pakistan
343760,Iqbal Stadium,Pakistan,Bangladesh,ODI,Bangladesh,bat,Pakistan
343761,Gaddafi Stadium,Pakistan,Bangladesh,ODI,Pakistan,bat,Pakistan
343762,Multan Cricket Stadium,Pakistan,Bangladesh,ODI,Bangladesh,bat,Pakistan
343763,National Stadium,Pakistan,Bangladesh,ODI,Pakistan,bat,Pakistan
345468,Shere Bangla National Stadium,Bangladesh,Pakistan,ODI,Bangladesh,field,Pakistan
345469,Shere Bangla National Stadium,India,Pakistan,ODI,India,bat,India
